2016-09-28 00:00:00.023 | ApplicationManager.0       | INFO     | Schedule (Instrument) Summary: Started 2016-09-28 00:00:00 UTC, Finished 0 actions in 0:00
2016-09-28 00:00:00.023 | ApplicationManager.6       | INFO     | Schedule Starting, CH6: dish@975um - 11 stacks x 30um
2016-09-28 00:00:00.023 | ApplicationManager.1       | INFO     | Schedule Starting, CH1: dish@1175um - 11 stacks x 15um
2016-09-28 00:00:00.023 | ApplicationManager.5       | INFO     | Schedule Starting, CH5: dish@1540um - 11 stacks x 25um
2016-09-28 00:00:00.023 | ApplicationManager.3       | INFO     | Schedule Starting, CH3: dish@1255um - 11 stacks x 25um
2016-09-28 00:00:05.890 | ApplicationManager.4       | INFO     | Schedule (Chamber 4) Summary: Started 2016-09-28 00:00:00 UTC, Finished 1 actions in 0:05
2016-09-28 00:00:06.061 | ApplicationManager.2       | INFO     | Schedule (Chamber 2) Summary: Started 2016-09-28 00:00:00 UTC, Finished 1 actions in 0:06
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w13_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w04_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w02_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w12_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w09_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w03_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w01_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w08_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w06_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w10_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w16_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w05_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w14_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w11_z06_thumb.png
2016-09-28 00:00:43.891 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w07_z06_thumb.png
